distrito,edad,email,id,nombre,partido,sexo,images
"{'8': 32, '6': 32}",57,jlcastro,931,Juan Luis Castro González,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs931
"{'6': 10, '1': 0}",84,ecerda,932,Eduardo Cerda García,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs932
"{'8': 13, '3': 13, '1': 0, '6': 13, '2': 13}",62,acornejo,933,Aldo Cornejo González,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs933
"{'8': 49, '6': 49}",40,fchahin,934,Fuad Chahin Valenzuela,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs934
"{'8': 51, '6': 51}",40,rojoedwards,935,Rojo Edwards Silva,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs935
"{'8': 18, '6': 18}",55,cgirardi,936,Cristina Girardi Lavín,Partido Por la Democracia,F,https://www.camara.cl/img.aspx?prmid=chs936
"{'8': 2, '6': 2}",56,hgutierrez,937,Hugo Gutiérrez Gálvez,Partido Comunista,M,https://www.camara.cl/img.aspx?prmid=chs937
"{'8': 39, '6': 39}",55,rgutierrez,938,Romilio Gutiérrez Pino,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs938
"{'8': 26, '6': 26}",45,ghasbun,939,Gustavo Hasbún Selume,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs939
"{'8': 15, '6': 15}",40,mjhoffmann,940,María José Hoffmann Opazo,Unión Demócrata Independiente,F,https://www.camara.cl/img.aspx?prmid=chs940
"{'8': 9, '6': 9}",55,llemus,941,Luis Lemus Aracena,Partido Socialista,M,https://www.camara.cl/img.aspx?prmid=chs941
"{'8': 34, '6': 34}",39,jmacaya,942,Javier Macaya Danús,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs942
{'6': 60},50,mmarinovic,943,Miodrag Marinovic Solo de Zaldívar,Independientes,M,https://www.camara.cl/img.aspx?prmid=chs943
"{'8': 10, '6': 10}",47,amolina,944,Andrea Molina Oliva,Unión Demócrata Independiente,F,https://www.camara.cl/img.aspx?prmid=chs944
"{'8': 36, '6': 36}",60,cmorales,945,Celso Morales Muñoz,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs945
"{'8': 29, '6': 29}",60,lperezl,946,Leopoldo Pérez Lahsen,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs946
"{'8': 33, '3': 33, '6': 33}",51,rrincon,947,Ricardo Rincón González,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs947
"{'8': 11, '6': 11}",39,grivas,948,Gaspar Rivas Sánchez,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs948
"{'8': 21, '6': 21}",36,msabat,949,Marcela Sabat Fernández,Renovación Nacional,F,https://www.camara.cl/img.aspx?prmid=chs949
"{'8': 50, '6': 50}",62,rsaffirio,950,René Saffirio Espinoza,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs950
"{'8': 59, '6': 59}",65,dsandoval,951,David Sandoval Plaza,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs951
"{'8': 58, '6': 58}",52,asantana,952,Alejandro Santana Tirachini,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs952
{'6': 42},44,fs,953,Frank Sauerbaum Muñoz,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs953
"{'8': 23, '6': 23}",42,esilva,954,Ernesto Silva Méndez,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs954
"{'8': 12, '6': 12}",39,asquella,955,Arturo Squella Ovalle,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs955
"{'8': 28, '6': 28}",74,gteillier,956,Guillermo Teillier Del Valle,Partido Comunista,M,https://www.camara.cl/img.aspx?prmid=chs956
"{'8': 15, '6': 15}",42,vtorres,957,Víctor Torres Jeldes,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs957
"{'8': 51, '6': 51}",76,jtuma,958,Joaquín Tuma Zedan,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs958
"{'8': 44, '6': 44}",41,evr,959,Enrique Van Rysselberghe Herrera,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs959
{'6': 1},65,ovargas,960,Orlando Vargas Pizarro,Partido Por la Democracia,M,https://www.camara.cl/img.aspx?prmid=chs960
{'6': 8},53,pvelasquez,961,Pedro Velásquez Seguel,Independientes,M,https://www.camara.cl/img.aspx?prmid=chs961
"{'6': 5, '3': 5, '1': 0, '4': 5, '2': 5}",73,cvilches,962,Carlos Vilches Guzmán,Renovación Nacional,M,https://www.camara.cl/img.aspx?prmid=chs962
"{'8': 8, '6': 8}",44,mwalker,963,Matías Walker Prieto,Partido Demócrata Cristiano,M,https://www.camara.cl/img.aspx?prmid=chs963
{'6': 20},55,mzalaquett,964,Mónica Zalaquett Said,Unión Demócrata Independiente,F,https://www.camara.cl/img.aspx?prmid=chs964
{'6': 31},63,cletelier,965,Cristian Letelier Aguilar,Independientes,M,https://www.camara.cl/img.aspx?prmid=chs965
{'6': 47},62,jrosales,966,Joel Rosales Guzmán,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs966
"{'8': 32, '6': 32}",37,ikort,967,Issa Kort Garriga,Unión Demócrata Independiente,M,https://www.camara.cl/img.aspx?prmid=chs967
